 ( 61,  70.3182128 ,  8.61647653e+01,  0.17936869, 0.42351941, 0.34038413, 0.58342449,  6.99595022e-02,  0.23599011)
 ( 62,  32.95779991,  8.68504942e+01,  0.15591755, 0.39486396, 1.04007845, 1.01984236, -1.78393381e-01,  0.06705748)
 ( 63,  68.30311687,  8.80757121e+01,  0.13254136, 0.3640623 , 0.33695932, 0.58048198,  2.42330040e-02,  0.17747881)
 ( 64, 136.45140316,  8.93996541e+01,  0.10889558, 0.32999331, 0.23286322, 0.48255903,  3.40466866e-02,  0.17488505)
 ( 65,   3.94896256,  8.93993507e+01,  0.19190674, 0.43807162, 0.28306592, 0.5320394 ,  1.00921266e-01,  0.26705895)
 ( 66, 112.24466762,  9.27207492e+01,  0.13732758, 0.37057736, 0.32710737, 0.57193301,  3.21859263e-02,  0.18674175)
 ( 67,  63.45423858,  9.33172404e+01,  0.25541608, 0.50538706, 0.28710159, 0.53581862,  1.63133426e-01,  0.33315965)
 ( 68,  66.4612822 ,  9.29676037e+01,  0.22477584, 0.4741053 , 0.30408779, 0.55144156,  1.27033338e-01,  0.29685623)
 ( 69,  56.23542835,  9.64602354e+01,  0.15722184, 0.3965121 , 0.56621832, 0.7524748 , -2.47769017e-02,  0.1546452 )
 ( 70,  59.86370793,  9.54112673e+01,  0.14632922, 0.38253003, 0.4267626 , 0.65327069,  9.15552860e-03,  0.17255016)
 ( 71,  30.26461913,  9.73620808e+01,  0.57744495, 0.75989799, 0.82112771, 0.90616097,  3.13511046e-01,  0.46863197)
 ( 72,  95.80938096,  9.91229495e+01,  0.10633251, 0.32608666, 0.17969849, 0.42390859,  4.85722761e-02,  0.18983032)
 ( 73,   7.30966833,  1.01414336e+02,  0.3166595 , 0.56272507, 0.41725685, 0.64595422,  1.82541225e-01,  0.35509692)
 ( 74,  11.57015645,  1.01042357e+02,  0.2129616 , 0.46147762, 0.57136888, 0.75588947,  2.93073162e-02,  0.21851315)
 ( 75, 145.94868844,  1.01924722e+02,  0.18079765, 0.42520306, 0.19898472, 0.44607703,  1.16838275e-01,  0.28182116)
 ( 76,  26.6102426 ,  1.02563970e+02,  0.52428288, 0.72407381, 0.67527484, 0.82175109,  3.07230254e-01,  0.45993953)
 ( 77,  76.11961652,  1.04150817e+02,  0.16474151, 0.40588361, 0.23045622, 0.48005856,  9.06662936e-02,  0.25157908)
 ( 78, 122.8287515 ,  1.04464370e+02,  0.10952982, 0.3309529 , 0.24407901, 0.49404353,  3.10758502e-02,  0.17215319)
 ( 79, 174.37308412,  1.02398610e+02,  0.09674535, 0.31103914, 0.15463814, 0.39324056,  4.70402340e-02,  0.18464039)
 ( 80,  23.91635219,  1.04501519e+02,  0.48604718, 0.69717084, 0.62973652, 0.7935594 ,  2.83631868e-01,  0.44209817)
 ( 81, 161.61507602,  1.03798696e+02,  0.12512028, 0.35372346, 0.14459844, 0.38026102,  7.86422120e-02,  0.2314967 )
 ( 82, 148.46282508,  1.05951289e+02,  0.11635671, 0.34111101, 0.13612658, 0.36895336,  7.26017403e-02,  0.22251885)
 ( 83, 198.39151865,  1.08082942e+02,  0.07477294, 0.27344641, 0.15731894, 0.39663452,  2.42061335e-02,  0.14595674)
 ( 84,  77.55694032,  1.08948974e+02,  0.2311731 , 0.48080464, 0.22618337, 0.4755874 ,  1.58471300e-01,  0.32793727)
 ( 85,  17.15464586,  1.11598270e+02,  0.41311423, 0.64273963, 0.61622733, 0.78500149,  2.15041154e-01,  0.39041772)
 ( 86, 177.72214686,  1.10617060e+02,  0.10516599, 0.32429305, 0.28891304, 0.53750631,  1.23010812e-02,  0.15152317)
 ( 87,  12.14977881,  1.12133155e+02,  0.27201285, 0.52154851, 0.67667457, 0.82260232,  5.45103062e-02,  0.25714062)
 ( 88,  15.48192568,  1.13382096e+02,  0.40677855, 0.63779193, 0.64828996, 0.80516455,  1.98399632e-01,  0.37898904)
 ( 89,  23.7035108 ,  1.15897743e+02,  0.19903962, 0.44613857, 0.53501272, 0.73144564,  2.70712451e-02,  0.21103104)
 ( 90, 114.13002413,  1.19774198e+02,  0.10582072, 0.32530097, 0.1447404 , 0.38044764,  5.92970203e-02,  0.20301423)
 ( 91,  58.68144208,  1.19313653e+02,  0.21659114, 0.46539353, 0.21092   , 0.45926027,  1.48795430e-01,  0.31777416)
 ( 92, 155.37369942,  1.21571832e+02,  0.18768971, 0.4332317 , 0.13449976, 0.36674208,  1.44457642e-01,  0.31535032)
 ( 93, 180.91804846,  1.22858257e+02,  0.20011548, 0.44734269, 0.42139148, 0.64914674,  6.46682164e-02,  0.23868838)
 ( 94,  11.2276712 ,  1.28566701e+02,  0.37844824, 0.61518148, 0.82259157, 0.90696834,  1.14043810e-01,  0.32365594)
 ( 95,  26.43949644,  1.29453171e+02,  0.27693203, 0.52624331, 0.30659736, 0.55371235,  1.78382875e-01,  0.34826434)
 ( 96, 151.86098759,  1.28733602e+02,  0.08502793, 0.29159549, 0.26873446, 0.51839604, -1.35100167e-03,  0.12496819)
 ( 97, 144.58243289,  1.30064487e+02,  0.07509383, 0.27403253, 0.24396857, 0.49393174, -3.32464427e-03,  0.11526875)
 ( 98, 139.33451915,  1.33201197e+02,  0.09648499, 0.31062033, 0.2317277 , 0.48138103,  2.20010918e-02,  0.15589072)
 ( 99,  83.87841947,  1.35281459e+02,  0.08065096, 0.28399113, 0.21316457, 0.46169749,  1.21337810e-02,  0.13558837)
 (100, 115.05841553,  1.35890482e+02,  0.12987812, 0.36038608, 0.15112687, 0.3887504 ,  8.13016280e-02,  0.23543059)
 (101, 157.42482248,  1.36927254e+02,  0.1927761 , 0.43906275, 0.34576943, 0.58802162,  8.16359275e-02,  0.25005581)
 (102, 143.40076311,  1.38411667e+02,  0.09145   , 0.30240701, 0.2055636 , 0.45339121,  2.53759867e-02,  0.15667412)
 (103, 170.08201347,  1.38439473e+02,  0.02942748, 0.17154441, 0.44189042, 0.66474839, -1.12608722e-01, -0.04212472)
 (104, 174.22838373,  1.37755775e+02,  0.03301882, 0.18171083, 0.16807918, 0.40997461, -2.10066277e-02,  0.04993327)
 (105,  75.97892264,  1.39139384e+02,  0.16546645, 0.40677568, 0.40559536, 0.6368637 ,  3.50965153e-02,  0.20206949)
 (106, 115.86334804,  1.39688407e+02,  0.11544637, 0.33977401, 0.15358457, 0.39189867,  6.60799059e-02,  0.21380658)
 (107, 125.48482753,  1.42949018e+02,  0.26134989, 0.51122391, 0.17025054, 0.41261427,  2.06626499e-01,  0.3785979 )
 (108,   9.88889146,  1.43606309e+02,  0.20427718, 0.45197033, 0.70050381, 0.83696105, -2.08847604e-02,  0.18294714)
 (109,  20.7107069 ,  1.43937034e+02,  0.17584972, 0.41934439, 0.56585286, 0.75223192, -6.03155773e-03,  0.17755556)
 (110,  49.80418558,  1.46422179e+02,  0.13019316, 0.36082289, 0.45544352, 0.67486556, -1.61994027e-02,  0.14390182)
 (111, 152.93747599,  1.46465150e+02,  0.39083953, 0.62517159, 0.37145171, 0.60946838,  2.71444333e-01,  0.42927104)
 (112,  77.30372454,  1.49353874e+02,  0.28657531, 0.5353273 , 0.31026321, 0.55701276,  1.86847846e-01,  0.35628748)
 (113, 110.70311992,  1.49854320e+02,  0.09318954, 0.30526961, 0.24097608, 0.49089314,  1.57329398e-02,  0.14748253)
 (114, 197.17505258,  1.49748230e+02,  0.20250305, 0.45000338, 0.10289789, 0.32077701,  1.69428725e-01,  0.34689649)
 (115, 193.87784314,  1.54421175e+02,  0.12468927, 0.35311368, 0.14246208, 0.37744149,  7.88978869e-02,  0.2317932 )
 (116,  24.45784684,  1.56518734e+02,  0.26596656, 0.51571946, 0.73415503, 0.85682847,  2.99881588e-02,  0.24031031)
 (117, 117.53781754,  1.56703225e+02,  0.14007269, 0.37426286, 0.24793038, 0.49792607,  6.03807796e-02,  0.21421519)
 (118, 172.33313615,  1.56803644e+02,  0.24525239, 0.49522964, 0.27796211, 0.52722113,  1.55907429e-01,  0.3257657 )
 (119,  39.57934815,  1.57446514e+02,  0.13711682, 0.37029288, 0.5419487 , 0.73617165, -3.70809779e-02,  0.13366628)
 (120,  46.56714912,  1.58430377e+02,  0.23205418, 0.48172003, 0.63420579, 0.79637039,  2.82023227e-02,  0.22574383)
